Company Name,Reviews,Total Reviews,Company Description
Walmart,3.4,266112 reviews,"Headquartered in Bentonville, Arkansas, Walmart is a multinational corporation that operates the largest chain of department stores globally."
Amazon.com,3.5,49998 reviews,Our mission is to be Earth's most customer-centric company.
United States Postal Service,3.2,36781 reviews,"Help us connect our neighbors, our country, and our world. Explore and apply for career opportunities with the Postal Service™"
UPS,3.7,59830 reviews,
McDonald's,3.4,245562 reviews,McDonald's is the largest chain of fast food restaurants in the world - join us today!
Costco Wholesale,4.0,16954 reviews,"Headquartered in Issaquah, Washington, Costco is the largest wholesale club operator in the United States, and the second largest retailer in the U.S."
The Home Depot,3.7,67452 reviews,We are the world’s largest home improvement retailer. Our scale and resources let us have a huge impact on the world of retail and in local communities.
FedEx,3.5,58831 reviews,"Headquartered in Memphis, US, FedEx is a global delivery service company that has changed the way the world moves packages."
ALDI,3.2,13937 reviews,"We're ALDI, one of the nation’s favorite grocery stores."
Target,3.5,75191 reviews,"As a Fortune 50 company with more than 400,000 team members worldwide, Target is an iconic brand and one of America's leading retailers."
Lowe's Home Improvement,3.4,57313 reviews,Lowe's is an American chain of retail home improvement and appliance stores that has retail stores in the United States.
Sam's Club,3.4,26962 reviews,"Sam’s Club is home to more than 100,000 associates in more than 660 locations all working together to provide great service and value to our members. By providing innovative products, a shopping experience infused with digital solutions such as Scan & Go and Club Pickup and support to the communities we serve, we truly differentiate our company in the marketplace. The constant pursuit to surprising and delight our members drives our business every day."
Starbucks,3.8,68291 reviews,
Dollar General,2.9,39669 reviews,
Publix,3.9,23004 reviews,"Publix Super Markets, Inc. is an award-winning, employee-owned Florida-based supermarket chain with stores in seven Southeastern states."
CVS Health,3.2,47528 reviews,CVS Health is a pharmacy innovation company with a simple and clear purpose: Helping people on their path to better health.
DoorDash,3.3,13788 reviews,"When you join our team, you join our dream: to grow and empower local economies."
Kroger,3.3,39462 reviews,"At Kroger, we Feed Your Future."
Frito-Lay,3.2,9510 reviews,"Frito-Lay is the undisputed leader in the snack food industry. The best retail jobs, manufacturing jobs, and trucking jobs are at Frito-Lay!"
Chick-fil-A Corporate,4.2,139 reviews,
Kaiser Permanente,4.0,13797 reviews,"As the nation’s leading not-for-profit health plan, we proudly serve 11+ million members from 600+ locations in 8 states and D.C."
PepsiCo,3.7,20220 reviews,PepsiCo products are enjoyed by consumers more than one billion times a day in more than 200 countries and territories around the world.
Amazon Flex,3.4,3947 reviews,Amazon Flex provides a flexible opportunity for individuals looking to turn free time into supplementary income.
Dollar Tree,3.2,26123 reviews,"Dollar Tree, Inc. is comprised of two brands–Dollar Tree and Family Dollar. Headquartered in Chesapeake, VA, we operate 16,000+ stores across the 48 contiguous states and five Canadian provinces."
Ross Dress For Less,3.3,17749 reviews,"Ross Dress for Less is the leader in discount retail. With over 2,000+ stores, 7 distribution centers, and Corporate and Buying Offices, join us in delivering the best value to our customers."
Allied Universal,3.1,37029 reviews,
AutoZone,3.4,15587 reviews,"AutoZone is the nation's leading retailer and a leading distributor of automotive replacement parts and accessories with more than 6,000 stores in the US, Mexico, Brazil and Puerto Rico."
Buc-ee's,2.6,1350 reviews,"Buc-ee's offers great opportunities for growth and success to hard working, high performance employees!"
Apple,4.1,13230 reviews,This is where you can do the best work of your life.
Taco Bell,3.4,38213 reviews,"Taco Bell Corp., a subsidiary of Yum! Brands, Inc., (NYSE: YUM), is the nation's leading Mexican-inspired quick service restaurant."
Trader Joe's,4.0,4144 reviews,"When it comes to grocery chains, Trader Joe's isn't your average Joe."
Planet Fitness,3.3,7447 reviews,"Planet Fitness created the Judgement Free Zone® because we believe anyone, of any fitness level, should feel accepted and respected when they walk into a gym."
Walgreens,3.4,45740 reviews,"Walgreens is proud to be a neighborhood health, beauty and retail destination supporting communities across the country."
Amazon Warehouse,3.4,68861 reviews,"Amazon warehouses are the epicenters of our operations, the place where customer orders begin their journey from click to delivery."
JPMorgan Chase & Co,3.9,19527 reviews,"Headquartered in New York City, JPMorgan Chase is the largest bank in the United States."
Raising Cane's,3.7,4238 reviews,Our ONE LOVE® is quality chicken finger meals.
Hobby Lobby,3.5,6378 reviews,"We are an Art,Craft & Hobby chain with over 850 stores that are all CLOSED ON SUNDAY and we're opening more in 2022. Come GROW with us!"
Indeed,4.2,1645 reviews,
Tesla,3.3,7501 reviews,Tesla is accelerating the world’s transition to sustainable energy.
Olive Garden,3.7,16448 reviews,"When you work at Olive Garden, you're family."
Concentrix,3.3,39204 reviews,Experience the power of YOU
Whole Foods Market,3.6,16528 reviews,"We bring together people who are passionate about great food, the communities in which they live, and the fair treatment of our planet and all of its inhabitants."
Burlington Stores,3.2,13637 reviews,
Ulta,3.3,10671 reviews,"Ulta Beauty (NASDAQ: ULTA) is the largest beauty retailer in the United States and the premier beauty destination for cosmetics, fragrance, skin care products, hair care products and salon services. Since opening its first store 25 years ago, Ulta Beauty has grown to become the top national retailer providing All Things Beauty, All in One Place™. The Company offers more than 20,000 products from over 500 well-established and emerging beauty brands across all categories and price points, including Ulta Beauty’s own private label. Ulta Beauty also offers a full-service salon in every store featuring hair, skin and brow services. Ulta Beauty is recognized for its commitment to personalized service, fun and inviting stores and its industry-leading Ultamate Rewards loyalty program. As of January 30, 2016 Ulta Beauty operates 874 retail stores across 48 states and also distributes its products through its website, which includes a collection of tips, tutorials and social content. For more information, visit www.ulta.com."
Wendy's,3.4,42145 reviews,About Us The Wendy’s Company (NASDAQ: WEN) is the world’s third largest quick-service hamburger company. Learn more at www.wendys.com
Globe Life,3.2,2321 reviews,"Globe Life's mission is to make tomorrow better, and we are committed to doing what is right and fair for our customers, agents, employees, and communities. Learn more at home.globelifeinsurance.com."
Sysco,3.2,6632 reviews,SYSCO Corporation is the largest foodservice distributor in North America.
Burger King,3.4,55991 reviews,To work at BURGER KING® is to be able to project yourself in the long term while benefiting from real perspectives of evolution ...
Barnes & Noble,3.8,6646 reviews,"Headquartered in New York, New York, Barnes & Noble is the largest online and retail bookseller in the United States."
HEB,4.2,11569 reviews,"No Store Does More to bring Texas families the very best locally grown produce, 100% pure beef, & hundreds of products from around the world."
TJ Maxx,3.6,12685 reviews,
Wells Fargo,3.7,46468 reviews,"At Wells Fargo, we provide opportunities that go beyond just your career. Whatever living a well life looks like to you, you'll find it here. Learn more at wellsfargojobs.com/well-life."
Best Buy,3.8,38023 reviews,"Best Buy is a leading provider of technology products, services and solutions."
"Vanderbilt Mortgage and Finance, Inc",3.5,128 reviews,"Our strength is our people. We're looking for passionate individuals to join our team! You'll enjoy excellent benefits, opportunities for growth, and a culture that encourages work/life balance."
Delta Air Lines,4.2,5071 reviews,Delta operates service to more worldwide destinations than any airline with flights to hundreds of destinations throughout the world.
Teleperformance,3.6,45202 reviews,"We deliver the most advanced, digitally powered business services to help the world’s best brands streamline their business in meaningful and sustainable ways."
PetSmart,3.4,13466 reviews,"We're proud to do Anything for Pets. Our passion drives our decisions and actions to support our pet parents, associates, and communities."
Domino's,3.4,37354 reviews,"Founded as a single store in 1960, DPZ is the largest pizza company in the world. From the beginning, Domino’s has been dedicated to the best of service, quality products, and delivery."
Marshalls,3.6,12164 reviews,"Acquired by TJX in 1995. 1,030+ stores and counting."
US Department of Veterans Affairs,3.8,12484 reviews,"Department of Veterans Affairs (VA) is the nation’s largest integrated health care system, providing comprehensive patient care to Veterans and their families."
Chipotle Mexican Grill,3.4,18635 reviews,We are committed to making real food more accessible to everyone while continuing to be a brand with a demonstrated purpose that leads the way in digital and sustainable business practices.
Kohl's,3.6,27995 reviews,"Kohl’s is a leading omnichannel retailer with more than 1,100 stores in 49 states."
Family Dollar,3.1,22054 reviews,"We are all about the Everyday Low Prices at Family Dollar. Dollar Tree, Inc. is headquartered in Chesapeake, VA and operates 15,000+ Family Dollar and Dollar Tree stores."
In-N-Out Burger,4.4,3308 reviews,
Five Below,3.3,3829 reviews,
Bank of America,3.8,32395 reviews,"Headquartered in Charlotte, North Carolina, Bank of America is the second largest banking corporation in the United States."
Texas Roadhouse,3.7,10483 reviews,At Texas Roadhouse we believe in putting our people first. We’re about loving what you’re doing today and preparing you for what you’ll be doing tomorrow.
Dunkin',3.3,27100 reviews,
Outlier AI,1.9,187 reviews,
DICK'S Sporting Goods,3.4,8571 reviews,"DICK'S Sporting Goods is a leading omni-channel sporting goods retailer offering an extensive assortment of authentic, high-quality sports equipment, apparel, footwear and accessories."
DHL,3.6,27754 reviews,"DHL Group is the global market leader of the international express and logistics industry, specializing in providing innovative and customized solutions from a single source."
TSA (Transportation Security Administration),3.1,2994 reviews,"At TSA, our mission is to protect the nation’s transportation systems to ensure freedom of movement for people and commerce. TSA offers a variety of opportunities nationwide!"
DaVita,3.2,8013 reviews,"DaVita strives to improve patients' quality of life by innovating clinical care, offering treatment plans, and personalized care teams."
Macy's,3.6,40818 reviews,"Macy’s, Inc., one of America’s most enduring, storied brands, has grown into a digitally led omnichannel retailer. It has its headquarter in NYC, with approximately 90,000 employees nationwide."
The Coca-Cola Company,3.8,10676 reviews,The Coca-Cola Company is a total beverage company with products sold in more than 200 countries and territories.
Menards,3.4,9837 reviews,
U.S. Army,4.3,82597 reviews,"With jobs in over 90 different fields, the U.S. Army health care team can help you succeed in almost any medical career. Apply today!"
Bath & Body Works,3.8,11386 reviews,"WE MAKE THE WORLD A BRIGHTER, HAPPIER PLACE THROUGH THE POWER OF FRAGRANCE. This idea is what we were founded on, and it’s at the heart of everything we do. Get to know us a little better."
Labcorp,3.3,8373 reviews,
YMCA,3.9,34428 reviews,"YMCA Worcestershire is an independent Christian charity working to transform communities in Worcestershire. Our Vision is an inclusive future, where all can reach their true potential."
UnitedHealth Group,3.6,18601 reviews,UnitedHealth Group is the most diversified health care company in the United States and worldwide leader helping people live healthier lives
Spectrum,3.3,20580 reviews,"Spectrum is the nation’s fastest-growing TV, Internet and Voice company, with over 100,000 employees country-wide."
AT&T,3.7,47104 reviews,"Our people have been changing how communities live, work and play for over 140 years. We're shaping the future by inspiring progress, standing for equality and making a difference through #LifeAtATT."
Pizza Hut,3.5,37799 reviews,"More than 55 years ago, two brothers borrowed $600 from their mom and set out to change the way the world experienced pizza. From our modest"
Marriott International,4.0,25221 reviews,"With more than 8,300 hotels and 30+ hotel brands worldwide, the career opportunities with Marriott are endless. Experience our story."
O'Reilly Auto Parts,3.3,9998 reviews,"Whether you're interested in running a local store, managing a distribution center, or climbing the corporate ladder, O’Reilly has a career path in which you can truly thrive. Come Work at the O!"
Tyson Foods Incorporated,3.6,10825 reviews,"World headquartered in Springdale, Arkansas, Tyson Foods Incorporated is one of the biggest producers of meat and poultry in the world."
United States Secret Service,4.0,180 reviews,"Choosing the right career is an important decision. United States Secret Service positions demand integrity, great work ethic and teamwork."
Amazon DSP,2.9,3481 reviews,"Amazon Delivery Service Partners (DSPs) are independent businesses that partner with Amazon to deliver packages. They offer competitive compensation, benefits, and opportunities for career growth."
Tractor Supply,3.4,6125 reviews,"Headquartered in Brentwood, Tennessee, Tractor Supply Company is the biggest operator of rural lifestyle retail stores in the U.S."
Dutch Bros Coffee,4.0,1216 reviews,"Dutch Bros mission statement: We are a fun-loving, mind-blowing company that makes a massive difference one cup at a time."
Lockheed Martin,4.0,9694 reviews,"Lockheed Martin Canada: #1 Defence Company in 2020 With a rich history supporting collective success across Canadian industry, Lockheed Martin Canada continues to grow this positive impact as Canada’"
Alorica,2.9,19481 reviews,We provide insanely great customer experiences for the world's biggest brands.
Cintas,3.2,6642 reviews,
Sonic Drive-In,3.4,22624 reviews,"We encourage and attract wildly creative people. Bold, unique personalities who are passionate for what they do. Sound like you? Get to know us."
Panda Restaurant Group,3.5,6646 reviews,"Panda Restaurant Group, parent company of Panda Inn, Panda Express and Hibachi-San, is dedicated to becoming a world leader in people development."
Food Lion,3.5,13019 reviews,"Food Lion based in Salisbury, North Carolina since 1957."
NIKE,4.1,12532 reviews,"NIKE, Inc. is the world’s leading designer, marketer and distributor of authentic athletic footwear, apparel, equipment and accessories for a wide variety of sports and fitness activities."
Panera Bread,3.3,22583 reviews,We are inspired by our mission and purpose in everything we do: “One Panera for a Healthier and Happier World.”
Goodwill Industries,3.4,19900 reviews,
